name,swap,inversion,insertion,scramble
-32811.7,7,4,6,1
-32668.9,4,3,4,7
-32347.3,6,2,6,4
-32245.9,4,6,5,3
-32003.7,7,2,5,4
-31884.3,3,7,6,2
-31852.9,3,7,4,4
-31851.2,3,2,4,9
-31766.8,2,3,5,8
-31745.2,2,4,8,4
-31617.4,5,3,2,8
-31505,4,4,4,6
-31392.2,3,7,4,4
-31302.3,4,2,5,7
-31161.8,3,7,3,5
-31163.5,2,2,7,7
-31123.3,7,4,5,2
-31115.2,5,4,4,5
-30951.9,4,6,4,4
-30867.4,6,2,6,4
-30788.2,6,4,8,0
-30756.9,1,5,5,7
-30633.5,6,6,3,3
-30641.7,5,2,6,5
-30468.2,5,3,5,5
-30354.4,5,2,6,5
-30263.7,5,4,4,5
-30166.2,2,2,6,8
-30121.1,4,4,5,5
-30159.6,3,7,3,5
-29962.4,4,6,4,4
-29874.7,6,6,3,3
-29824.8,6,4,3,5
-29699.5,3,1,5,9
-29658.2,5,7,4,2
-29664.1,4,4,4,6
-29505.7,2,9,5,2
-29504.8,2,3,6,7
-29467.9,1,8,6,3
-29277.5,0,3,12,3
-29343.3,4,4,5,5
-29173.6,3,3,8,4
-29142.9,7,3,3,5
-29046,0,11,4,3
-29001,4,8,2,4
-29071.3,2,6,6,4
-28957.4,3,4,7,4
-28926.8,2,5,5,6
-28886.6,3,6,7,2
-28923.6,1,9,3,5
-28858.1,3,6,3,6
-28858.3,3,9,4,2
-28806.8,2,5,8,3
-28793.5,1,5,7,5
-28746.9,2,4,6,6
-28735.1,2,6,7,3
-28652.5,4,6,4,4
-28610.1,3,8,7,0
-28561.1,2,7,6,3
-28471,4,4,5,5
-28426.4,1,6,7,4
-28381.3,1,6,6,5
-28389.7,3,3,9,3
-28407.8,4,2,9,3
-28353.1,4,3,8,3
-28279.9,3,5,7,3
-28213.4,3,7,6,2
-28211.2,1,6,8,3
-28161.3,3,4,4,7
-28096.8,2,5,8,3
-28038.1,5,2,7,4
-28030.3,2,1,9,6
-28025.8,4,4,8,2
-27992.1,5,3,8,2
-27941.5,5,6,6,1
-27880.4,3,1,9,5
-27868.8,3,6,5,4
-27821.3,5,6,4,3
-27805.3,4,4,7,3
-27767.1,7,2,8,1
-27725.9,4,6,4,4
-27668,3,3,9,3
-27576.4,6,2,7,3
-27600.4,6,2,8,2
-27530.3,2,4,12,0
-27537.1,5,3,9,1
-27373.7,3,2,9,4
-27209.1,9,2,5,2
-26919.2,6,0,8,4
-27046.3,5,4,7,2
-26979.1,6,1,9,2
-26808.2,4,4,10,0
-26855.5,5,1,9,3
-26727.2,8,0,7,3
-26709,5,0,11,2
-26656.9,4,2,9,3
-26644.6,3,2,10,3
-26500.4,5,5,8,0
-26504,4,1,8,5
-26473.8,3,2,10,3
